"SCHOOL_DISTRICT_NUMBER","year","month","SCHOOL_DISTRICT_NAME","burned_ha_50km","fire_count_50km"
33,2020,5,"Chilliwack",0,0
33,2020,6,"Chilliwack",0,0
33,2020,7,"Chilliwack",1,1
33,2020,8,"Chilliwack",15,1
33,2020,9,"Chilliwack",2,1
33,2021,5,"Chilliwack",18,1
33,2021,6,"Chilliwack",38,1
33,2021,7,"Chilliwack",14867,5
33,2021,8,"Chilliwack",0,0
33,2021,9,"Chilliwack",0,0
33,2022,5,"Chilliwack",0,0
33,2022,6,"Chilliwack",0,0
33,2022,7,"Chilliwack",0,0
33,2022,8,"Chilliwack",5922,8
33,2022,9,"Chilliwack",1044,4
33,2023,5,"Chilliwack",20,2
33,2023,6,"Chilliwack",843,2
33,2023,7,"Chilliwack",434,3
33,2023,8,"Chilliwack",1032,3
33,2023,9,"Chilliwack",0,0
33,2024,5,"Chilliwack",10,1
33,2024,6,"Chilliwack",0,0
33,2024,7,"Chilliwack",4546,3
33,2024,8,"Chilliwack",0,0
33,2024,9,"Chilliwack",0,0
34,2017,5,"Abbotsford",0,0
34,2017,6,"Abbotsford",0,0
34,2017,7,"Abbotsford",94,2
34,2017,8,"Abbotsford",0,0
34,2017,9,"Abbotsford",0,0
34,2018,5,"Abbotsford",0,0
34,2018,6,"Abbotsford",1,1
34,2018,7,"Abbotsford",14,2
34,2018,8,"Abbotsford",425,1
34,2018,9,"Abbotsford",0,0
34,2019,5,"Abbotsford",0,0
34,2019,6,"Abbotsford",0,0
34,2019,7,"Abbotsford",0,0
34,2019,8,"Abbotsford",0,0
34,2019,9,"Abbotsford",5,1
34,2020,5,"Abbotsford",0,0
34,2020,6,"Abbotsford",0,0
34,2020,7,"Abbotsford",0,0
34,2020,8,"Abbotsford",15,1
34,2020,9,"Abbotsford",2,1
34,2021,5,"Abbotsford",0,0
34,2021,6,"Abbotsford",0,0
34,2021,7,"Abbotsford",223,1
34,2021,8,"Abbotsford",0,0
34,2021,9,"Abbotsford",0,0
34,2022,5,"Abbotsford",0,0
34,2022,6,"Abbotsford",0,0
34,2022,7,"Abbotsford",0,0
34,2022,8,"Abbotsford",6,1
34,2022,9,"Abbotsford",580,2
34,2023,5,"Abbotsford",20,2
34,2023,6,"Abbotsford",843,2
34,2023,7,"Abbotsford",434,3
34,2023,8,"Abbotsford",50,2
34,2023,9,"Abbotsford",0,0
34,2024,5,"Abbotsford",10,1
34,2024,6,"Abbotsford",0,0
34,2024,7,"Abbotsford",1,2
34,2024,8,"Abbotsford",0,0
34,2024,9,"Abbotsford",0,0
35,2017,5,"Langley",0,0
35,2017,6,"Langley",0,0
35,2017,7,"Langley",0,1
35,2017,8,"Langley",0,0
35,2017,9,"Langley",0,0
35,2018,5,"Langley",106,1
35,2018,6,"Langley",1,1
35,2018,7,"Langley",14,2
35,2018,8,"Langley",3,1
35,2018,9,"Langley",0,0
35,2019,5,"Langley",0,0
35,2019,6,"Langley",4,1
35,2019,7,"Langley",0,0
35,2019,8,"Langley",0,0
35,2019,9,"Langley",5,1
35,2020,5,"Langley",0,0
35,2020,6,"Langley",0,0
35,2020,7,"Langley",0,0
35,2020,8,"Langley",15,1
35,2020,9,"Langley",2,1
35,2021,5,"Langley",0,0
35,2021,6,"Langley",0,0
35,2021,7,"Langley",0,0
35,2021,8,"Langley",0,0
35,2021,9,"Langley",0,0
35,2022,5,"Langley",0,0
35,2022,6,"Langley",0,0
35,2022,7,"Langley",0,0
35,2022,8,"Langley",6,1
35,2022,9,"Langley",5,1
35,2023,5,"Langley",19,1
35,2023,6,"Langley",843,2
35,2023,7,"Langley",175,1
35,2023,8,"Langley",48,1
35,2023,9,"Langley",0,0
35,2024,5,"Langley",0,0
35,2024,6,"Langley",0,0
35,2024,7,"Langley",0,0
35,2024,8,"Langley",0,0
35,2024,9,"Langley",0,0
36,2017,5,"Surrey",0,0
36,2017,6,"Surrey",0,0
36,2017,7,"Surrey",0,0
36,2017,8,"Surrey",0,0
36,2017,9,"Surrey",0,0
36,2018,5,"Surrey",106,1
36,2018,6,"Surrey",0,0
36,2018,7,"Surrey",13,1
36,2018,8,"Surrey",3,1
36,2018,9,"Surrey",0,0
36,2019,5,"Surrey",0,0
36,2019,6,"Surrey",4,1
36,2019,7,"Surrey",0,0
36,2019,8,"Surrey",0,0
36,2019,9,"Surrey",0,0
36,2020,5,"Surrey",0,0
36,2020,6,"Surrey",0,0
36,2020,7,"Surrey",0,0
36,2020,8,"Surrey",0,0
36,2020,9,"Surrey",2,1
36,2021,5,"Surrey",0,0
36,2021,6,"Surrey",0,0
