"SCHOOL_DISTRICT_NUMBER","SCHOOL_DISTRICT_NAME","year","GRADE","NUMBER_WRITERS","AVG_SCORE","MEDIAN_SCORE","STDEV_SCORE","pm25","burned_ha_75km","fire_count_75km","AVG_SCORE_Z"
47,"qathet",2017,"07","108",349.6547,428,204.1713,7.65931816101074,23,8,-0.0694642935049174
48,"Sea to Sky",2017,"07","312",425.0427,435,134.5353,7.28195652961731,181046,13,0.262757198653804
49,"Central Coast",2017,"07","21",304.5185,350,196.6892,6.5135283946991,441729,7,-0.268371489801072
50,"Haida Gwaii",2017,"07","38",359.9333,412,170.4753,3.18260130882263,0,0,-0.0241683335470643
51,"Boundary",2017,"07","78",362.396,430,212.6129,13.028383731842,16440,37,-0.0133156531637235
52,"Prince Rupert",2017,"07","102",344.552,395,181.5676,3.09485187530518,0,0,-0.0919509838009631
53,"Okanagan Similkameen",2017,"07","144",421.6564,454,174.5803,22.8743590831757,18916,20,0.247834377529791
54,"Bulkley Valley",2017,"07","123",456.7923,465.5,145.0845,4.31452860832214,210,7,0.402672032413057
57,"Prince George",2017,"07","873",404.2996,416,137.9422,8.16443724632263,453970,72,0.171346050540078
58,"Nicola-Similkameen",2017,"07","156",417.7485,441,157.0484,15.0864860057831,198308,40,0.230612958083632
59,"Peace River South",2017,"07","252",436.4701,456.5,138.3859,5.14294891357422,581,14,0.313115715652459
60,"Peace River North",2017,"07","386",425.7242,448,152.354,3.93157362937927,470,16,0.265760447803618
61,"Greater Victoria",2017,"07","892",301.7981,391,234.9946,8.37495079040527,3,2,-0.280359808197482
62,"Sooke",2017,"07","212",116.1841,0,198.545,5.18103227615356,19,4,-1.09832765514327
63,"Saanich",2017,"07","345",303.5387,408,248.6767,7.15465593338013,3,2,-0.272689293934582
64,"Gulf Islands",2017,"07","54",215.8158,0,235.6717,7.74830913543701,18,3,-0.659268493999451
67,"Okanagan Skaha",2017,"07","427",430.6826,436.5,107.1576,13.1425912857056,18928,23,0.287611233694208
68,"Nanaimo-Ladysmith",2017,"07","649",274.8464,344,231.5579,7.02901539802551,24,7,-0.399131150986974
69,"Qualicum",2017,"07","286",402.2384,443,166.09,7.13340711593628,24,8,0.162262709164295
70,"Pacific Rim",2017,"07","261",430.6509,449,138.0235,4.65929574966431,21,7,0.287471537438817
