"SCHOOL_DISTRICT_NUMBER","year","month","SCHOOL_DISTRICT_NAME","burned_ha_75km","fire_count_75km"
8,2024,7,"Kootenay Lake",57540,55
8,2024,8,"Kootenay Lake",119,14
8,2024,9,"Kootenay Lake",15,4
10,2017,5,"Arrow Lakes",8,3
10,2017,6,"Arrow Lakes",658,7
10,2017,7,"Arrow Lakes",9521,21
10,2017,8,"Arrow Lakes",3066,15
10,2017,9,"Arrow Lakes",39,3
10,2018,5,"Arrow Lakes",5,2
10,2018,6,"Arrow Lakes",0,0
10,2018,7,"Arrow Lakes",25856,42
10,2018,8,"Arrow Lakes",16456,54
10,2018,9,"Arrow Lakes",2,1
10,2019,5,"Arrow Lakes",0,0
10,2019,6,"Arrow Lakes",2,1
10,2019,7,"Arrow Lakes",5,1
10,2019,8,"Arrow Lakes",1,1
10,2019,9,"Arrow Lakes",10,2
10,2020,5,"Arrow Lakes",2,1
10,2020,6,"Arrow Lakes",0,0
10,2020,7,"Arrow Lakes",1111,1
10,2020,8,"Arrow Lakes",8606,17
10,2020,9,"Arrow Lakes",27,1
10,2021,5,"Arrow Lakes",14,3
10,2021,6,"Arrow Lakes",1130,5
10,2021,7,"Arrow Lakes",162083,60
10,2021,8,"Arrow Lakes",299,9
10,2021,9,"Arrow Lakes",0,0
10,2022,5,"Arrow Lakes",0,0
10,2022,6,"Arrow Lakes",69,1
10,2022,7,"Arrow Lakes",2261,12
10,2022,8,"Arrow Lakes",5619,42
10,2022,9,"Arrow Lakes",794,8
10,2023,5,"Arrow Lakes",31,4
10,2023,6,"Arrow Lakes",0,0
10,2023,7,"Arrow Lakes",25686,27
10,2023,8,"Arrow Lakes",1467,21
10,2023,9,"Arrow Lakes",0,0
10,2024,5,"Arrow Lakes",0,0
10,2024,6,"Arrow Lakes",35,2
10,2024,7,"Arrow Lakes",38584,51
10,2024,8,"Arrow Lakes",1064,16
10,2024,9,"Arrow Lakes",3,2
19,2017,5,"Revelstoke",5,1
19,2017,6,"Revelstoke",2852,5
19,2017,7,"Revelstoke",3625,24
19,2017,8,"Revelstoke",290,9
19,2017,9,"Revelstoke",89,2
19,2018,5,"Revelstoke",6,2
19,2018,6,"Revelstoke",34,2
19,2018,7,"Revelstoke",7772,49
19,2018,8,"Revelstoke",19696,67
19,2018,9,"Revelstoke",0,0
19,2019,5,"Revelstoke",0,0
19,2019,6,"Revelstoke",4,2
19,2019,7,"Revelstoke",0,0
19,2019,8,"Revelstoke",0,0
19,2019,9,"Revelstoke",5,1
19,2020,5,"Revelstoke",0,0
19,2020,6,"Revelstoke",0,0
19,2020,7,"Revelstoke",0,0
19,2020,8,"Revelstoke",146,11
19,2020,9,"Revelstoke",0,0
19,2021,5,"Revelstoke",6,1
19,2021,6,"Revelstoke",4,1
19,2021,7,"Revelstoke",55432,77
19,2021,8,"Revelstoke",457,11
19,2021,9,"Revelstoke",0,0
19,2022,5,"Revelstoke",3,1
19,2022,6,"Revelstoke",69,1
19,2022,7,"Revelstoke",593,10
19,2022,8,"Revelstoke",2517,33
19,2022,9,"Revelstoke",730,8
19,2023,5,"Revelstoke",2792,8
19,2023,6,"Revelstoke",7,1
19,2023,7,"Revelstoke",64037,43
19,2023,8,"Revelstoke",1083,18
19,2023,9,"Revelstoke",3,1
19,2024,5,"Revelstoke",0,0
19,2024,6,"Revelstoke",497,3
19,2024,7,"Revelstoke",41453,81
19,2024,8,"Revelstoke",372,14
19,2024,9,"Revelstoke",25,1
20,2017,5,"Kootenay-Columbia",7,2
20,2017,6,"Kootenay-Columbia",42,4
20,2017,7,"Kootenay-Columbia",2363,8
20,2017,8,"Kootenay-Columbia",3206,12
20,2017,9,"Kootenay-Columbia",40,3
20,2018,5,"Kootenay-Columbia",1,1
20,2018,6,"Kootenay-Columbia",0,0
20,2018,7,"Kootenay-Columbia",23136,23
20,2018,8,"Kootenay-Columbia",13638,29
20,2018,9,"Kootenay-Columbia",4,2
20,2019,5,"Kootenay-Columbia",0,0
20,2019,6,"Kootenay-Columbia",11,1
20,2019,7,"Kootenay-Columbia",5,1
20,2019,8,"Kootenay-Columbia",1,1
20,2019,9,"Kootenay-Columbia",5,1
20,2020,5,"Kootenay-Columbia",0,0
20,2020,6,"Kootenay-Columbia",18,1
20,2020,7,"Kootenay-Columbia",1111,1
20,2020,8,"Kootenay-Columbia",1326,7
20,2020,9,"Kootenay-Columbia",0,0
20,2021,5,"Kootenay-Columbia",7,2
20,2021,6,"Kootenay-Columbia",1125,4
20,2021,7,"Kootenay-Columbia",63979,24
20,2021,8,"Kootenay-Columbia",237,3
20,2021,9,"Kootenay-Columbia",0,0
20,2022,5,"Kootenay-Columbia",0,0
20,2022,6,"Kootenay-Columbia",0,0
20,2022,7,"Kootenay-Columbia",1914,6
20,2022,8,"Kootenay-Columbia",2247,14
20,2022,9,"Kootenay-Columbia",72,2
20,2023,5,"Kootenay-Columbia",7,2
20,2023,6,"Kootenay-Columbia",0,0
20,2023,7,"Kootenay-Columbia",219,3
20,2023,8,"Kootenay-Columbia",191,9
20,2023,9,"Kootenay-Columbia",0,0
20,2024,5,"Kootenay-Columbia",0,0
20,2024,6,"Kootenay-Columbia",0,0
20,2024,7,"Kootenay-Columbia",14084,25
20,2024,8,"Kootenay-Columbia",58,9
20,2024,9,"Kootenay-Columbia",4,3
22,2017,5,"Vernon",8,3
22,2017,6,"Vernon",814,8
22,2017,7,"Vernon",3236,17
22,2017,8,"Vernon",2927,15
22,2017,9,"Vernon",2191,4
22,2018,5,"Vernon",13,3
22,2018,6,"Vernon",25,1
22,2018,7,"Vernon",9637,50
22,2018,8,"Vernon",17089,60
22,2018,9,"Vernon",0,0
22,2019,5,"Vernon",25,2
22,2019,6,"Vernon",18,4
22,2019,7,"Vernon",0,0
22,2019,8,"Vernon",2451,2
22,2019,9,"Vernon",17,2
22,2020,5,"Vernon",4,2
22,2020,6,"Vernon",18,1
22,2020,7,"Vernon",3,1
22,2020,8,"Vernon",3436,20
22,2020,9,"Vernon",27,1
22,2021,5,"Vernon",3,2
22,2021,6,"Vernon",1188,10
22,2021,7,"Vernon",234944,69
22,2021,8,"Vernon",1468,14
22,2021,9,"Vernon",177,4
22,2022,5,"Vernon",0,1
22,2022,6,"Vernon",73,2
22,2022,7,"Vernon",6731,16
22,2022,8,"Vernon",2788,40
22,2022,9,"Vernon",520,6
22,2023,5,"Vernon",57,7
22,2023,6,"Vernon",45,3
22,2023,7,"Vernon",64272,34
22,2023,8,"Vernon",1542,20
22,2023,9,"Vernon",611,1
22,2024,5,"Vernon",16,2
22,2024,6,"Vernon",1,1
22,2024,7,"Vernon",16544,48
22,2024,8,"Vernon",1110,19
22,2024,9,"Vernon",1,1
23,2017,5,"Central Okanagan",6,2
23,2017,6,"Central Okanagan",175,3
23,2017,7,"Central Okanagan",14178,13
23,2017,8,"Central Okanagan",2652,7
23,2017,9,"Central Okanagan",2191,4
23,2018,5,"Central Okanagan",13,3
23,2018,6,"Central Okanagan",42,4
23,2018,7,"Central Okanagan",41637,35
23,2018,8,"Central Okanagan",11225,31
23,2018,9,"Central Okanagan",0,0
23,2019,5,"Central Okanagan",893,4
23,2019,6,"Central Okanagan",18,4
23,2019,7,"Central Okanagan",0,0
23,2019,8,"Central Okanagan",2450,1
23,2019,9,"Central Okanagan",35,7
23,2020,5,"Central Okanagan",4,2
23,2020,6,"Central Okanagan",18,1
23,2020,7,"Central Okanagan",10,2
23,2020,8,"Central Okanagan",2145,11
23,2020,9,"Central Okanagan",27,1
23,2021,5,"Central Okanagan",5,3
23,2021,6,"Central Okanagan",82243,10
23,2021,7,"Central Okanagan",230794,49
23,2021,8,"Central Okanagan",1428,9
23,2021,9,"Central Okanagan",177,4
23,2022,5,"Central Okanagan",25,3
23,2022,6,"Central Okanagan",4,1
23,2022,7,"Central Okanagan",6451,9
23,2022,8,"Central Okanagan",429,10
23,2022,9,"Central Okanagan",520,6
23,2023,5,"Central Okanagan",8,2
23,2023,6,"Central Okanagan",45,3
23,2023,7,"Central Okanagan",100595,24
23,2023,8,"Central Okanagan",1385,9
23,2023,9,"Central Okanagan",616,2
23,2024,5,"Central Okanagan",16,2
23,2024,6,"Central Okanagan",1,1
23,2024,7,"Central Okanagan",1748,18
23,2024,8,"Central Okanagan",1022,11
23,2024,9,"Central Okanagan",1,1
27,2017,5,"Cariboo-Chilcotin",682,4
27,2017,6,"Cariboo-Chilcotin",199,6
27,2017,7,"Cariboo-Chilcotin",920972,64
27,2017,8,"Cariboo-Chilcotin",800,8
27,2017,9,"Cariboo-Chilcotin",90,3
27,2018,5,"Cariboo-Chilcotin",3754,6
27,2018,6,"Cariboo-Chilcotin",2479,12
27,2018,7,"Cariboo-Chilcotin",128104,62
27,2018,8,"Cariboo-Chilcotin",179274,56
27,2018,9,"Cariboo-Chilcotin",27,3
27,2019,5,"Cariboo-Chilcotin",296,8
27,2019,6,"Cariboo-Chilcotin",79,5
27,2019,7,"Cariboo-Chilcotin",37,2
27,2019,8,"Cariboo-Chilcotin",49,4
27,2019,9,"Cariboo-Chilcotin",1,1
27,2020,5,"Cariboo-Chilcotin",4,2
27,2020,6,"Cariboo-Chilcotin",0,0
27,2020,7,"Cariboo-Chilcotin",6,2
27,2020,8,"Cariboo-Chilcotin",496,6
27,2020,9,"Cariboo-Chilcotin",18,1
27,2021,5,"Cariboo-Chilcotin",251,3
27,2021,6,"Cariboo-Chilcotin",174136,33
27,2021,7,"Cariboo-Chilcotin",196210,68
27,2021,8,"Cariboo-Chilcotin",385,15
27,2021,9,"Cariboo-Chilcotin",0,0
27,2022,5,"Cariboo-Chilcotin",108,5
27,2022,6,"Cariboo-Chilcotin",232,2
27,2022,7,"Cariboo-Chilcotin",1547,12
27,2022,8,"Cariboo-Chilcotin",6518,40
27,2022,9,"Cariboo-Chilcotin",219,9
27,2023,5,"Cariboo-Chilcotin",4628,17
27,2023,6,"Cariboo-Chilcotin",433,9
27,2023,7,"Cariboo-Chilcotin",254999,101
27,2023,8,"Cariboo-Chilcotin",19201,23
27,2023,9,"Cariboo-Chilcotin",272,6
27,2024,5,"Cariboo-Chilcotin",520,7
27,2024,6,"Cariboo-Chilcotin",157,3
27,2024,7,"Cariboo-Chilcotin",148606,90
27,2024,8,"Cariboo-Chilcotin",2539,19
27,2024,9,"Cariboo-Chilcotin",25,1
28,2017,5,"Quesnel",701,4
28,2017,6,"Quesnel",77,6
28,2017,7,"Quesnel",702266,59
28,2017,8,"Quesnel",588,5
28,2017,9,"Quesnel",2,1
28,2018,5,"Quesnel",288,2
28,2018,6,"Quesnel",2530,11
28,2018,7,"Quesnel",234148,42
28,2018,8,"Quesnel",170074,31
28,2018,9,"Quesnel",28,4
28,2019,5,"Quesnel",323,5
28,2019,6,"Quesnel",75,3
28,2019,7,"Quesnel",2,1
28,2019,8,"Quesnel",1,1
28,2019,9,"Quesnel",0,0
28,2020,5,"Quesnel",7,1
28,2020,6,"Quesnel",0,0
28,2020,7,"Quesnel",0,0
28,2020,8,"Quesnel",0,0
28,2020,9,"Quesnel",0,0
28,2021,5,"Quesnel",239,2
28,2021,6,"Quesnel",32826,8
28,2021,7,"Quesnel",49147,37
28,2021,8,"Quesnel",338,16
28,2021,9,"Quesnel",0,0
28,2022,5,"Quesnel",12,3
28,2022,6,"Quesnel",4,2
28,2022,7,"Quesnel",0,0
28,2022,8,"Quesnel",128,11
28,2022,9,"Quesnel",10,5
28,2023,5,"Quesnel",2535,17
28,2023,6,"Quesnel",258,4
28,2023,7,"Quesnel",178920,80
28,2023,8,"Quesnel",1126,4
28,2023,9,"Quesnel",27,3
28,2024,5,"Quesnel",374,5
28,2024,6,"Quesnel",5,2
28,2024,7,"Quesnel",115903,54
28,2024,8,"Quesnel",536,8
28,2024,9,"Quesnel",0,0
33,2017,5,"Chilliwack",0,0
33,2017,6,"Chilliwack",0,0
33,2017,7,"Chilliwack",13991,5
33,2017,8,"Chilliwack",0,0
33,2017,9,"Chilliwack",1,2
33,2018,5,"Chilliwack",125,3
33,2018,6,"Chilliwack",19,2
33,2018,7,"Chilliwack",16938,4
33,2018,8,"Chilliwack",8466,5
33,2018,9,"Chilliwack",0,0
33,2019,5,"Chilliwack",0,0
33,2019,6,"Chilliwack",0,0
33,2019,7,"Chilliwack",0,0
33,2019,8,"Chilliwack",0,0
33,2019,9,"Chilliwack",5,1
33,2020,5,"Chilliwack",0,0
33,2020,6,"Chilliwack",0,0
33,2020,7,"Chilliwack",8,2
33,2020,8,"Chilliwack",58,2
33,2020,9,"Chilliwack",2,1
33,2021,5,"Chilliwack",18,1
33,2021,6,"Chilliwack",38,1
33,2021,7,"Chilliwack",31982,9
33,2021,8,"Chilliwack",93,1
33,2021,9,"Chilliwack",0,0
33,2022,5,"Chilliwack",0,0
33,2022,6,"Chilliwack",0,0
33,2022,7,"Chilliwack",0,0
33,2022,8,"Chilliwack",5990,9
33,2022,9,"Chilliwack",1044,4
33,2023,5,"Chilliwack",20,2
33,2023,6,"Chilliwack",843,2
33,2023,7,"Chilliwack",13939,6
33,2023,8,"Chilliwack",1048,4
33,2023,9,"Chilliwack",0,0
33,2024,5,"Chilliwack",10,1
33,2024,6,"Chilliwack",0,0
33,2024,7,"Chilliwack",4552,5
33,2024,8,"Chilliwack",2,1
33,2024,9,"Chilliwack",0,0
34,2017,5,"Abbotsford",0,0
34,2017,6,"Abbotsford",0,0
34,2017,7,"Abbotsford",184,3
34,2017,8,"Abbotsford",3,1
34,2017,9,"Abbotsford",1,1
34,2018,5,"Abbotsford",106,1
34,2018,6,"Abbotsford",19,2
34,2018,7,"Abbotsford",14,2
34,2018,8,"Abbotsford",6189,4
34,2018,9,"Abbotsford",0,0
34,2019,5,"Abbotsford",0,0
34,2019,6,"Abbotsford",4,1
34,2019,7,"Abbotsford",0,0
34,2019,8,"Abbotsford",0,0
34,2019,9,"Abbotsford",5,1
34,2020,5,"Abbotsford",0,0
34,2020,6,"Abbotsford",0,0
34,2020,7,"Abbotsford",1,1
34,2020,8,"Abbotsford",15,1
34,2020,9,"Abbotsford",2,1
34,2021,5,"Abbotsford",18,1
34,2021,6,"Abbotsford",38,1
34,2021,7,"Abbotsford",694,3
34,2021,8,"Abbotsford",0,0
34,2021,9,"Abbotsford",0,0
34,2022,5,"Abbotsford",0,0
34,2022,6,"Abbotsford",0,0
34,2022,7,"Abbotsford",0,0
34,2022,8,"Abbotsford",364,4
34,2022,9,"Abbotsford",580,2
34,2023,5,"Abbotsford",20,2
34,2023,6,"Abbotsford",843,2
34,2023,7,"Abbotsford",454,4
34,2023,8,"Abbotsford",1032,3
34,2023,9,"Abbotsford",0,0
34,2024,5,"Abbotsford",10,1
34,2024,6,"Abbotsford",0,0
34,2024,7,"Abbotsford",1,2
34,2024,8,"Abbotsford",2,1
34,2024,9,"Abbotsford",0,0
35,2017,5,"Langley",0,0
35,2017,6,"Langley",0,0
35,2017,7,"Langley",184,3
35,2017,8,"Langley",3,1
35,2017,9,"Langley",1,1
35,2018,5,"Langley",106,1
35,2018,6,"Langley",1,1
35,2018,7,"Langley",14,2
35,2018,8,"Langley",434,3
35,2018,9,"Langley",0,0
35,2019,5,"Langley",0,0
35,2019,6,"Langley",8,2
35,2019,7,"Langley",0,0
35,2019,8,"Langley",0,0
35,2019,9,"Langley",5,1
35,2020,5,"Langley",0,0
35,2020,6,"Langley",0,0
35,2020,7,"Langley",1,1
35,2020,8,"Langley",15,1
35,2020,9,"Langley",2,1
35,2021,5,"Langley",18,1
35,2021,6,"Langley",0,0
35,2021,7,"Langley",674,2
35,2021,8,"Langley",0,0
35,2021,9,"Langley",0,0
35,2022,5,"Langley",0,0
35,2022,6,"Langley",0,0
35,2022,7,"Langley",0,0
35,2022,8,"Langley",6,1
35,2022,9,"Langley",580,2
35,2023,5,"Langley",20,2
35,2023,6,"Langley",843,2
35,2023,7,"Langley",195,3
35,2023,8,"Langley",50,2
35,2023,9,"Langley",0,0
35,2024,5,"Langley",10,1
35,2024,6,"Langley",0,0
35,2024,7,"Langley",1,2
35,2024,8,"Langley",2,1
35,2024,9,"Langley",2,1
36,2017,5,"Surrey",0,0
36,2017,6,"Surrey",0,0
36,2017,7,"Surrey",184,3
36,2017,8,"Surrey",3,1
36,2017,9,"Surrey",0,0
36,2018,5,"Surrey",106,1
36,2018,6,"Surrey",1,1
36,2018,7,"Surrey",14,2
36,2018,8,"Surrey",434,3
36,2018,9,"Surrey",0,0
36,2019,5,"Surrey",0,0
36,2019,6,"Surrey",8,2
36,2019,7,"Surrey",0,0
36,2019,8,"Surrey",0,0
36,2019,9,"Surrey",5,1
36,2020,5,"Surrey",0,0
36,2020,6,"Surrey",0,0
36,2020,7,"Surrey",3,2
36,2020,8,"Surrey",18,3
36,2020,9,"Surrey",2,1
36,2021,5,"Surrey",0,0
36,2021,6,"Surrey",0,0
36,2021,7,"Surrey",223,1
36,2021,8,"Surrey",91,2
36,2021,9,"Surrey",0,0
36,2022,5,"Surrey",0,0
36,2022,6,"Surrey",0,0
36,2022,7,"Surrey",0,0
36,2022,8,"Surrey",6,1
36,2022,9,"Surrey",5,1
36,2023,5,"Surrey",20,2
36,2023,6,"Surrey",843,2
36,2023,7,"Surrey",195,2
36,2023,8,"Surrey",229,3
36,2023,9,"Surrey",0,0
36,2024,5,"Surrey",10,1
36,2024,6,"Surrey",0,0
36,2024,7,"Surrey",8,3
36,2024,8,"Surrey",4,2
36,2024,9,"Surrey",2,1
37,2017,5,"Delta",0,0
37,2017,6,"Delta",2,1
37,2017,7,"Delta",1,2
37,2017,8,"Delta",3,1
37,2017,9,"Delta",0,0
37,2018,5,"Delta",106,1
37,2018,6,"Delta",3,2
37,2018,7,"Delta",112,4
37,2018,8,"Delta",194,3
37,2018,9,"Delta",0,0
37,2019,5,"Delta",0,0
37,2019,6,"Delta",8,2
37,2019,7,"Delta",0,0
37,2019,8,"Delta",0,0
37,2019,9,"Delta",5,1
37,2020,5,"Delta",0,0
37,2020,6,"Delta",0,0
37,2020,7,"Delta",19,2
37,2020,8,"Delta",15,5
37,2020,9,"Delta",2,1
37,2021,5,"Delta",2,1
37,2021,6,"Delta",0,0
37,2021,7,"Delta",0,0
37,2021,8,"Delta",91,2
37,2021,9,"Delta",0,0
37,2022,5,"Delta",0,0
37,2022,6,"Delta",0,0
37,2022,7,"Delta",0,0
37,2022,8,"Delta",6,1
37,2022,9,"Delta",5,1
37,2023,5,"Delta",19,1
37,2023,6,"Delta",843,2
37,2023,7,"Delta",195,2
37,2023,8,"Delta",227,2
37,2023,9,"Delta",0,0
37,2024,5,"Delta",0,0
37,2024,6,"Delta",0,0
37,2024,7,"Delta",165,2
37,2024,8,"Delta",4,2
37,2024,9,"Delta",2,1
38,2017,5,"Richmond",0,0
38,2017,6,"Richmond",2,1
38,2017,7,"Richmond",1,1
38,2017,8,"Richmond",3,1
38,2017,9,"Richmond",0,0
38,2018,5,"Richmond",106,1
38,2018,6,"Richmond",3,2
38,2018,7,"Richmond",110,3
38,2018,8,"Richmond",194,3
38,2018,9,"Richmond",0,0
38,2019,5,"Richmond",0,0
38,2019,6,"Richmond",21,4
38,2019,7,"Richmond",0,0
38,2019,8,"Richmond",4,1
38,2019,9,"Richmond",5,1
38,2020,5,"Richmond",0,0
38,2020,6,"Richmond",0,0
38,2020,7,"Richmond",19,2
38,2020,8,"Richmond",15,5
38,2020,9,"Richmond",2,1
38,2021,5,"Richmond",2,1
38,2021,6,"Richmond",0,0
38,2021,7,"Richmond",0,0
38,2021,8,"Richmond",91,2
38,2021,9,"Richmond",0,0
38,2022,5,"Richmond",0,0
38,2022,6,"Richmond",0,0
38,2022,7,"Richmond",2,1
38,2022,8,"Richmond",6,1
38,2022,9,"Richmond",5,1
38,2023,5,"Richmond",19,1
38,2023,6,"Richmond",102,1
38,2023,7,"Richmond",195,2
38,2023,8,"Richmond",179,1
38,2023,9,"Richmond",0,0
38,2024,5,"Richmond",0,0
38,2024,6,"Richmond",0,0
38,2024,7,"Richmond",165,2
38,2024,8,"Richmond",4,2
38,2024,9,"Richmond",4,3
39,2017,5,"Vancouver",0,0
39,2017,6,"Vancouver",17,2
39,2017,7,"Vancouver",0,0
39,2017,8,"Vancouver",4,2
39,2017,9,"Vancouver",0,0
39,2018,5,"Vancouver",106,1
39,2018,6,"Vancouver",1,1
39,2018,7,"Vancouver",27,2
39,2018,8,"Vancouver",194,3
39,2018,9,"Vancouver",0,0
39,2019,5,"Vancouver",0,0
39,2019,6,"Vancouver",21,4
39,2019,7,"Vancouver",0,0
39,2019,8,"Vancouver",7,2
39,2019,9,"Vancouver",5,1
39,2020,5,"Vancouver",0,0
39,2020,6,"Vancouver",0,0
39,2020,7,"Vancouver",17,1
39,2020,8,"Vancouver",9,3
39,2020,9,"Vancouver",2,1
39,2021,5,"Vancouver",2,1
39,2021,6,"Vancouver",0,0
39,2021,7,"Vancouver",0,0
39,2021,8,"Vancouver",100,3
39,2021,9,"Vancouver",0,0
39,2022,5,"Vancouver",0,0
39,2022,6,"Vancouver",0,0
39,2022,7,"Vancouver",2,1
39,2022,8,"Vancouver",6,1
39,2022,9,"Vancouver",5,1
39,2023,5,"Vancouver",19,1
39,2023,6,"Vancouver",303,2
39,2023,7,"Vancouver",195,2
39,2023,8,"Vancouver",298,3
39,2023,9,"Vancouver",0,0
39,2024,5,"Vancouver",0,0
39,2024,6,"Vancouver",0,0
39,2024,7,"Vancouver",7,1
39,2024,8,"Vancouver",4,2
39,2024,9,"Vancouver",4,3
40,2017,5,"New Westminster",0,0
40,2017,6,"New Westminster",0,0
40,2017,7,"New Westminster",0,1
40,2017,8,"New Westminster",3,1
40,2017,9,"New Westminster",0,0
40,2018,5,"New Westminster",106,1
40,2018,6,"New Westminster",1,1
40,2018,7,"New Westminster",14,2
40,2018,8,"New Westminster",9,2
40,2018,9,"New Westminster",0,0
40,2019,5,"New Westminster",0,0
40,2019,6,"New Westminster",8,2
40,2019,7,"New Westminster",0,0
40,2019,8,"New Westminster",0,0
40,2019,9,"New Westminster",5,1
40,2020,5,"New Westminster",0,0
40,2020,6,"New Westminster",0,0
40,2020,7,"New Westminster",0,0
40,2020,8,"New Westminster",0,0
40,2020,9,"New Westminster",2,1
40,2021,5,"New Westminster",0,0
40,2021,6,"New Westminster",0,0
40,2021,7,"New Westminster",0,0
40,2021,8,"New Westminster",91,2
40,2021,9,"New Westminster",0,0
40,2022,5,"New Westminster",0,0
40,2022,6,"New Westminster",0,0
40,2022,7,"New Westminster",0,0
40,2022,8,"New Westminster",6,1
40,2022,9,"New Westminster",5,1
40,2023,5,"New Westminster",19,1
40,2023,6,"New Westminster",843,2
40,2023,7,"New Westminster",195,2
40,2023,8,"New Westminster",227,2
40,2023,9,"New Westminster",0,0
40,2024,5,"New Westminster",0,0
