"SCHOOL_DISTRICT_NUMBER","year","month","SCHOOL_DISTRICT_NAME","burned_ha_75km","fire_count_75km"
5,2017,5,"South East Kootenay",0,0
5,2017,6,"South East Kootenay",9119,2
5,2017,7,"South East Kootenay",7216,13
5,2017,8,"South East Kootenay",54319,19
5,2017,9,"South East Kootenay",489,5
5,2018,5,"South East Kootenay",5,1
5,2018,6,"South East Kootenay",68,6
5,2018,7,"South East Kootenay",21947,10
5,2018,8,"South East Kootenay",7645,13
5,2018,9,"South East Kootenay",0,0
5,2019,5,"South East Kootenay",3,2
5,2019,6,"South East Kootenay",57,4
5,2019,7,"South East Kootenay",38,2
5,2019,8,"South East Kootenay",0,0
5,2019,9,"South East Kootenay",5,1
5,2020,5,"South East Kootenay",0,0
5,2020,6,"South East Kootenay",0,0
5,2020,7,"South East Kootenay",1118,3
5,2020,8,"South East Kootenay",7201,5
5,2020,9,"South East Kootenay",4,1
5,2021,5,"South East Kootenay",0,0
5,2021,6,"South East Kootenay",0,0
5,2021,7,"South East Kootenay",16831,19
5,2021,8,"South East Kootenay",294,2
5,2021,9,"South East Kootenay",0,0
5,2022,5,"South East Kootenay",0,0
5,2022,6,"South East Kootenay",0,0
5,2022,7,"South East Kootenay",3304,5
5,2022,8,"South East Kootenay",5768,22
5,2022,9,"South East Kootenay",34,1
5,2023,5,"South East Kootenay",57,4
5,2023,6,"South East Kootenay",6,2
5,2023,7,"South East Kootenay",22412,9
5,2023,8,"South East Kootenay",4348,7
5,2023,9,"South East Kootenay",8,1
5,2024,5,"South East Kootenay",5,2
5,2024,6,"South East Kootenay",4,1
5,2024,7,"South East Kootenay",19045,9
5,2024,8,"South East Kootenay",21,2
5,2024,9,"South East Kootenay",14,3
6,2017,5,"Rocky Mountain",2,1
6,2017,6,"Rocky Mountain",11941,5
6,2017,7,"Rocky Mountain",10784,33
6,2017,8,"Rocky Mountain",40927,26
6,2017,9,"Rocky Mountain",432,6
6,2018,5,"Rocky Mountain",11,3
6,2018,6,"Rocky Mountain",102,8
6,2018,7,"Rocky Mountain",26670,44
6,2018,8,"Rocky Mountain",25906,63
6,2018,9,"Rocky Mountain",0,0
6,2019,5,"Rocky Mountain",3,2
6,2019,6,"Rocky Mountain",57,4
6,2019,7,"Rocky Mountain",38,2
6,2019,8,"Rocky Mountain",0,0
6,2019,9,"Rocky Mountain",5,1
6,2020,5,"Rocky Mountain",0,0
6,2020,6,"Rocky Mountain",0,0
6,2020,7,"Rocky Mountain",1118,3
6,2020,8,"Rocky Mountain",8543,16
6,2020,9,"Rocky Mountain",4,1
6,2021,5,"Rocky Mountain",6,1
6,2021,6,"Rocky Mountain",0,0
6,2021,7,"Rocky Mountain",40212,74
6,2021,8,"Rocky Mountain",666,11
6,2021,9,"Rocky Mountain",0,0
6,2022,5,"Rocky Mountain",0,0
6,2022,6,"Rocky Mountain",69,1
6,2022,7,"Rocky Mountain",3583,9
6,2022,8,"Rocky Mountain",7418,53
6,2022,9,"Rocky Mountain",342,6
6,2023,5,"Rocky Mountain",2853,13
6,2023,6,"Rocky Mountain",13,3
6,2023,7,"Rocky Mountain",32848,41
6,2023,8,"Rocky Mountain",5428,17
6,2023,9,"Rocky Mountain",11,2
6,2024,5,"Rocky Mountain",5,2
6,2024,6,"Rocky Mountain",497,3
6,2024,7,"Rocky Mountain",59812,70
6,2024,8,"Rocky Mountain",254,15
6,2024,9,"Rocky Mountain",39,4
8,2017,5,"Kootenay Lake",2,1
8,2017,6,"Kootenay Lake",9734,6
8,2017,7,"Kootenay Lake",10506,29
8,2017,8,"Kootenay Lake",5535,24
8,2017,9,"Kootenay Lake",431,5
8,2018,5,"Kootenay Lake",1,1
8,2018,6,"Kootenay Lake",55,2
8,2018,7,"Kootenay Lake",26968,42
8,2018,8,"Kootenay Lake",22990,59
8,2018,9,"Kootenay Lake",2,1
8,2019,5,"Kootenay Lake",3,2
8,2019,6,"Kootenay Lake",57,4
8,2019,7,"Kootenay Lake",38,2
8,2019,8,"Kootenay Lake",1,1
8,2019,9,"Kootenay Lake",5,1
8,2020,5,"Kootenay Lake",0,0
8,2020,6,"Kootenay Lake",0,0
8,2020,7,"Kootenay Lake",1118,3
8,2020,8,"Kootenay Lake",8505,15
8,2020,9,"Kootenay Lake",0,0
8,2021,5,"Kootenay Lake",14,3
8,2021,6,"Kootenay Lake",1060,2
8,2021,7,"Kootenay Lake",82751,65
8,2021,8,"Kootenay Lake",561,8
8,2021,9,"Kootenay Lake",0,0
8,2022,5,"Kootenay Lake",0,0
8,2022,6,"Kootenay Lake",69,1
8,2022,7,"Kootenay Lake",3586,12
8,2022,8,"Kootenay Lake",7660,50
8,2022,9,"Kootenay Lake",729,7
8,2023,5,"Kootenay Lake",88,8
8,2023,6,"Kootenay Lake",6,2
8,2023,7,"Kootenay Lake",30748,29
8,2023,8,"Kootenay Lake",3094,19
8,2023,9,"Kootenay Lake",8,1
8,2024,5,"Kootenay Lake",5,2
8,2024,6,"Kootenay Lake",35,2
