"SCHOOL_DISTRICT_NAME","SCHOOL_DISTRICT_NUMBER","year","month","pm25_mean"
"Cariboo-Chilcotin",27,2018,9,4.51925039291382
"Quesnel",28,2018,9,6.43428087234497
"Chilliwack",33,2018,9,3.66629815101624
"Abbotsford",34,2018,9,4.61328172683716
"Langley",35,2018,9,3.83155035972595
"Surrey",36,2018,9,5.14457750320435
"Delta",37,2018,9,6.83675765991211
"Richmond",38,2018,9,7.33784866333008
"Vancouver",39,2018,9,6.86874961853027
"New Westminster",40,2018,9,5.50660419464111
"Burnaby",41,2018,9,4.69851160049438
"Maple-Ridge Pitt-Meadows",42,2018,9,3.164057970047
"Coquitlam",43,2018,9,2.39142560958862
"North Vancouver",44,2018,9,1.97902321815491
"West Vancouver",45,2018,9,4.80880260467529
"Sunshine Coast",46,2018,9,5.19010162353516
"Powell RIver",47,2018,9,4.62398719787598
"Sea to Sky",48,2018,9,2.71222829818726
"South East Kootenay",5,2018,9,6.07921504974365
"Haida Gwaii",50,2018,9,2.96874952316284
"Boundary",51,2018,9,9.68648815155029
"Prince Rupert",52,2018,9,3.43210744857788
"Bulkley Valley",54,2018,9,5.16576051712036
"Prince George",57,2018,9,6.95724248886108
"Nicola-Similkameen",58,2018,9,4.05125904083252
"Peace River South",59,2018,9,5.19926357269287
"Rocky Mountain",6,2018,9,4.38778972625732
"Peace River North",60,2018,9,5.35645866394043
"Victoria",61,2018,9,6.94670343399048
"Sooke",62,2018,9,5.11334037780762
"Saanich",63,2018,9,6.21871566772461
"Gulf Islands",64,2018,9,6.5087456703186
"Nanaimo-Ladysmith",68,2018,9,5.00667905807495
"Qualicum",69,2018,9,4.81682014465332
"Pacific Rim",70,2018,9,3.84595131874084
"Comox Valley",71,2018,9,4.18755006790161
"Campbell River",72,2018,9,4.17610120773315
"Kamloops-Thompson",73,2018,9,4.38018369674683
"Gold Trail",74,2018,9,3.77787518501282
"Mission",75,2018,9,2.78432846069336
"Fraser-Cascade",78,2018,9,3.32439756393433
"Cowichan",79,2018,9,4.34969711303711
"Kootenay Lake",8,2018,9,6.79095077514648
"Fort Nelson",81,2018,9,5.19965648651123
"Coast Mountains",82,2018,9,5.02851104736328
"Okanagan-Shuswap",83,2018,9,3.62725305557251
"Vancouver Island West",84,2018,9,3.25398731231689
"Vancouver Island North",85,2018,9,4.08270978927612
"Stikine",87,2018,9,4.63115358352661
"Nechako Lakes",91,2018,9,6.01830720901489
"Nisgaa",92,2018,9,5.07926082611084
"Central Coast",49,2018,9,4.31990909576416
"Okanagan-Skaha",67,2018,9,5.49895000457764
"Okanagan-Similkameen",53,2018,9,6.45715284347534
"Arrow Lakes",10,2018,10,8.09195613861084
"Revelstoke",19,2018,10,7.75417709350586
"Kootenay-Columbia",20,2018,10,9.15004730224609
"Vernon",22,2018,10,7.55315399169922
"Central Okanagan",23,2018,10,7.6750373840332
"Cariboo-Chilcotin",27,2018,10,6.83030652999878
"Quesnel",28,2018,10,7.14092493057251
"Chilliwack",33,2018,10,6.51085758209229
"Abbotsford",34,2018,10,8.88286685943604
"Langley",35,2018,10,8.67193698883057
"Surrey",36,2018,10,8.57390308380127
"Delta",37,2018,10,7.08140277862549
"Richmond",38,2018,10,7.12885761260986
"Vancouver",39,2018,10,7.18817806243896
"New Westminster",40,2018,10,9.76289367675781
"Burnaby",41,2018,10,9.44587993621826
"Maple-Ridge Pitt-Meadows",42,2018,10,7.03906536102295
"Coquitlam",43,2018,10,7.6779990196228
"North Vancouver",44,2018,10,6.92395925521851
"West Vancouver",45,2018,10,6.29632186889648
"Sunshine Coast",46,2018,10,6.3216438293457
"Powell RIver",47,2018,10,5.5456976890564
"Sea to Sky",48,2018,10,5.60707664489746
"South East Kootenay",5,2018,10,6.72789621353149
"Haida Gwaii",50,2018,10,3.42693591117859
"Boundary",51,2018,10,7.97474670410156
"Prince Rupert",52,2018,10,4.61704683303833
"Bulkley Valley",54,2018,10,8.23265552520752
"Prince George",57,2018,10,7.62291240692139
"Nicola-Similkameen",58,2018,10,6.36141633987427
"Peace River South",59,2018,10,6.11761379241943
"Rocky Mountain",6,2018,10,5.59132528305054
"Peace River North",60,2018,10,5.00924062728882
"Victoria",61,2018,10,7.364333152771
"Sooke",62,2018,10,6.36429643630981
"Saanich",63,2018,10,7.48282861709595
"Gulf Islands",64,2018,10,6.00587511062622
"Nanaimo-Ladysmith",68,2018,10,5.81564617156982
"Qualicum",69,2018,10,5.49846410751343
"Pacific Rim",70,2018,10,5.96735954284668
"Comox Valley",71,2018,10,5.07137823104858
"Campbell River",72,2018,10,5.10349321365356
"Kamloops-Thompson",73,2018,10,7.66535377502441
"Gold Trail",74,2018,10,5.87442922592163
"Mission",75,2018,10,7.03409051895142
"Fraser-Cascade",78,2018,10,6.65936040878296
"Cowichan",79,2018,10,6.09283494949341
"Kootenay Lake",8,2018,10,7.13655567169189
"Fort Nelson",81,2018,10,3.96541213989258
"Coast Mountains",82,2018,10,5.44442796707153
"Okanagan-Shuswap",83,2018,10,9.73088359832764
"Vancouver Island West",84,2018,10,5.57960319519043
"Vancouver Island North",85,2018,10,5.14533090591431
"Stikine",87,2018,10,2.56563878059387
"Nechako Lakes",91,2018,10,7.53967094421387
"Nisgaa",92,2018,10,5.56292295455933
"Central Coast",49,2018,10,5.11917543411255
"Okanagan-Skaha",67,2018,10,7.69597768783569
"Okanagan-Similkameen",53,2018,10,6.42261362075806
"Arrow Lakes",10,2018,11,8.46733379364014
"Revelstoke",19,2018,11,7.8690185546875
"Kootenay-Columbia",20,2018,11,9.53978633880615
"Vernon",22,2018,11,8.66353702545166
"Central Okanagan",23,2018,11,9.53047180175781
"Cariboo-Chilcotin",27,2018,11,7.56063747406006
"Quesnel",28,2018,11,7.84464168548584
"Chilliwack",33,2018,11,5.49899005889893
"Abbotsford",34,2018,11,7.44512939453125
"Langley",35,2018,11,7.50987720489502
"Surrey",36,2018,11,7.58180046081543
"Delta",37,2018,11,6.68446922302246
"Richmond",38,2018,11,6.36927461624146
"Vancouver",39,2018,11,6.22328329086304
"New Westminster",40,2018,11,8.05094051361084
"Burnaby",41,2018,11,7.98161792755127
"Maple-Ridge Pitt-Meadows",42,2018,11,6.45934343338013
"Coquitlam",43,2018,11,7.29315328598022
"North Vancouver",44,2018,11,7.33623790740967
"West Vancouver",45,2018,11,6.0441575050354
"Sunshine Coast",46,2018,11,5.3874135017395
"Powell RIver",47,2018,11,4.87572574615479
"Sea to Sky",48,2018,11,5.3648362159729
"South East Kootenay",5,2018,11,6.73633432388306
"Haida Gwaii",50,2018,11,2.66540694236755
"Boundary",51,2018,11,9.15217590332031
"Prince Rupert",52,2018,11,3.61257982254028
"Bulkley Valley",54,2018,11,6.58433532714844
"Prince George",57,2018,11,7.67148065567017
"Nicola-Similkameen",58,2018,11,7.41771602630615
"Peace River South",59,2018,11,7.41819715499878
"Rocky Mountain",6,2018,11,6.95891046524048
"Peace River North",60,2018,11,7.75827980041504
"Victoria",61,2018,11,5.84057283401489
"Sooke",62,2018,11,5.30105447769165
"Saanich",63,2018,11,6.25358295440674
"Gulf Islands",64,2018,11,5.57977247238159
"Nanaimo-Ladysmith",68,2018,11,5.13536930084229
"Qualicum",69,2018,11,5.39084768295288
"Pacific Rim",70,2018,11,5.13417196273804
"Comox Valley",71,2018,11,5.0315842628479
"Campbell River",72,2018,11,4.88637351989746
"Kamloops-Thompson",73,2018,11,8.1278247833252
"Gold Trail",74,2018,11,7.41989374160767
"Mission",75,2018,11,6.64513397216797
"Fraser-Cascade",78,2018,11,5.51344871520996
"Cowichan",79,2018,11,4.93443536758423
"Kootenay Lake",8,2018,11,7.37987041473389
"Fort Nelson",81,2018,11,4.47298765182495
"Coast Mountains",82,2018,11,5.20822238922119
"Okanagan-Shuswap",83,2018,11,9.17076587677002
"Vancouver Island West",84,2018,11,4.58090257644653
"Vancouver Island North",85,2018,11,4.89289951324463
"Stikine",87,2018,11,4.01125478744507
"Nechako Lakes",91,2018,11,8.4763126373291
"Nisgaa",92,2018,11,4.88847303390503
"Central Coast",49,2018,11,4.3548002243042
"Okanagan-Skaha",67,2018,11,9.64400482177734
"Okanagan-Similkameen",53,2018,11,8.27409839630127
"Arrow Lakes",10,2018,12,6.66160011291504
"Revelstoke",19,2018,12,6.37683963775635
"Kootenay-Columbia",20,2018,12,8.05055046081543
"Vernon",22,2018,12,7.21599435806274
"Central Okanagan",23,2018,12,8.49035549163818
"Cariboo-Chilcotin",27,2018,12,5.46107149124146
"Quesnel",28,2018,12,5.88253927230835
"Chilliwack",33,2018,12,5.44491529464722
"Abbotsford",34,2018,12,6.41790914535522
"Langley",35,2018,12,6.37580442428589
"Surrey",36,2018,12,5.80284023284912
"Delta",37,2018,12,5.0964035987854
"Richmond",38,2018,12,4.46096754074097
"Vancouver",39,2018,12,4.13341856002808
"New Westminster",40,2018,12,5.43591356277466
"Burnaby",41,2018,12,5.29048109054565
"Maple-Ridge Pitt-Meadows",42,2018,12,5.65310955047607
"Coquitlam",43,2018,12,5.83640098571777
"North Vancouver",44,2018,12,5.99075412750244
"West Vancouver",45,2018,12,4.51887321472168
"Sunshine Coast",46,2018,12,4.79974699020386
"Powell RIver",47,2018,12,4.43488597869873
"Sea to Sky",48,2018,12,5.0619797706604
"South East Kootenay",5,2018,12,5.80358552932739
"Haida Gwaii",50,2018,12,1.99740827083588
"Boundary",51,2018,12,7.54667091369629
"Prince Rupert",52,2018,12,2.85556268692017
"Bulkley Valley",54,2018,12,6.90771913528442
"Prince George",57,2018,12,5.46908092498779
"Nicola-Similkameen",58,2018,12,5.44706249237061
"Peace River South",59,2018,12,5.20601320266724
"Rocky Mountain",6,2018,12,5.0865421295166
"Peace River North",60,2018,12,6.43712568283081
"Victoria",61,2018,12,4.51502323150635
"Sooke",62,2018,12,4.10848426818848
"Saanich",63,2018,12,5.04366445541382
"Gulf Islands",64,2018,12,4.5866379737854
"Nanaimo-Ladysmith",68,2018,12,4.72974872589111
"Qualicum",69,2018,12,4.42888641357422
"Pacific Rim",70,2018,12,4.82001638412476
"Comox Valley",71,2018,12,4.50484275817871
"Campbell River",72,2018,12,4.78407669067383
"Kamloops-Thompson",73,2018,12,6.68605661392212
"Gold Trail",74,2018,12,5.07369518280029
"Mission",75,2018,12,5.87066602706909
"Fraser-Cascade",78,2018,12,4.8276424407959
"Cowichan",79,2018,12,4.69044208526611
"Kootenay Lake",8,2018,12,6.49402523040771
"Fort Nelson",81,2018,12,4.50229787826538
"Coast Mountains",82,2018,12,4.86153602600098
"Okanagan-Shuswap",83,2018,12,7.13232946395874
"Vancouver Island West",84,2018,12,4.77529668807983
"Vancouver Island North",85,2018,12,4.57289266586304
"Stikine",87,2018,12,4.25040531158447
"Nechako Lakes",91,2018,12,7.12006807327271
"Nisgaa",92,2018,12,5.08035564422607
"Central Coast",49,2018,12,4.26055145263672
"Okanagan-Skaha",67,2018,12,7.87243747711182
"Okanagan-Similkameen",53,2018,12,6.73044681549072
"Arrow Lakes",10,2019,1,5.32798004150391
"Revelstoke",19,2019,1,4.58981513977051
"Kootenay-Columbia",20,2019,1,5.67195224761963
"Vernon",22,2019,1,5.96352958679199
"Central Okanagan",23,2019,1,7.26115751266479
"Cariboo-Chilcotin",27,2019,1,5.56455516815186
"Quesnel",28,2019,1,6.30399608612061
"Chilliwack",33,2019,1,4.71966648101807
"Abbotsford",34,2019,1,5.62265634536743
"Langley",35,2019,1,5.63118648529053
"Surrey",36,2019,1,6.02491998672485
"Delta",37,2019,1,5.44556665420532
"Richmond",38,2019,1,5.17314338684082
"Vancouver",39,2019,1,5.02381944656372
"New Westminster",40,2019,1,6.35617780685425
"Burnaby",41,2019,1,6.10691022872925
"Maple-Ridge Pitt-Meadows",42,2019,1,4.16751861572266
"Coquitlam",43,2019,1,5.21692752838135
"North Vancouver",44,2019,1,4.87326431274414
"West Vancouver",45,2019,1,4.35464239120483
"Sunshine Coast",46,2019,1,3.5978901386261
"Powell RIver",47,2019,1,3.27835750579834
"Sea to Sky",48,2019,1,4.20513486862183
"South East Kootenay",5,2019,1,5.48294496536255
"Haida Gwaii",50,2019,1,2.94361543655396
"Boundary",51,2019,1,5.33146953582764
"Prince Rupert",52,2019,1,2.65715312957764
"Bulkley Valley",54,2019,1,5.37505435943604
"Prince George",57,2019,1,5.42581701278687
"Nicola-Similkameen",58,2019,1,6.05299949645996
"Peace River South",59,2019,1,5.19532489776611
"Rocky Mountain",6,2019,1,3.69917869567871
"Peace River North",60,2019,1,4.64758348464966
"Victoria",61,2019,1,3.78727889060974
"Sooke",62,2019,1,4.05894947052002
"Saanich",63,2019,1,4.8387131690979
"Gulf Islands",64,2019,1,4.53329849243164
"Nanaimo-Ladysmith",68,2019,1,4.93854570388794
"Qualicum",69,2019,1,3.80162358283997
"Pacific Rim",70,2019,1,3.36867690086365
"Comox Valley",71,2019,1,4.48875999450684
"Campbell River",72,2019,1,3.92784023284912
"Kamloops-Thompson",73,2019,1,5.35658693313599
"Gold Trail",74,2019,1,5.21713542938232
"Mission",75,2019,1,4.52241945266724
"Fraser-Cascade",78,2019,1,4.6930775642395
"Cowichan",79,2019,1,4.91337156295776
"Kootenay Lake",8,2019,1,4.56976747512817
"Fort Nelson",81,2019,1,4.72880697250366
"Coast Mountains",82,2019,1,4.26297950744629
"Okanagan-Shuswap",83,2019,1,5.76600456237793
"Vancouver Island West",84,2019,1,3.28883409500122
"Vancouver Island North",85,2019,1,3.29955887794495
"Stikine",87,2019,1,4.60899305343628
"Nechako Lakes",91,2019,1,5.87716293334961
"Nisgaa",92,2019,1,3.60855603218079
"Central Coast",49,2019,1,3.38603186607361
"Okanagan-Skaha",67,2019,1,6.58011770248413
"Okanagan-Similkameen",53,2019,1,5.94121170043945
"Arrow Lakes",10,2019,2,6.92063999176025
"Revelstoke",19,2019,2,6.08772945404053
"Kootenay-Columbia",20,2019,2,7.06816482543945
"Vernon",22,2019,2,6.81531810760498
"Central Okanagan",23,2019,2,7.22402334213257
"Cariboo-Chilcotin",27,2019,2,5.54777812957764
"Quesnel",28,2019,2,6.20484828948975
"Chilliwack",33,2019,2,5.0512900352478
"Abbotsford",34,2019,2,5.49140930175781
"Langley",35,2019,2,4.23293352127075
"Surrey",36,2019,2,4.85727691650391
"Delta",37,2019,2,4.05129289627075
"Richmond",38,2019,2,3.42695951461792
"Vancouver",39,2019,2,3.51787328720093
"New Westminster",40,2019,2,5.47099637985229
"Burnaby",41,2019,2,5.35414266586304
"Maple-Ridge Pitt-Meadows",42,2019,2,4.51630640029907
"Coquitlam",43,2019,2,4.6301703453064
"North Vancouver",44,2019,2,4.34282541275024
"West Vancouver",45,2019,2,3.85880947113037
"Sunshine Coast",46,2019,2,5.18271255493164
"Powell RIver",47,2019,2,5.27805852890015
"Sea to Sky",48,2019,2,5.23308229446411
"South East Kootenay",5,2019,2,7.30827045440674
"Haida Gwaii",50,2019,2,2.00886487960815
"Boundary",51,2019,2,6.94983863830566
"Prince Rupert",52,2019,2,4.21801710128784
"Bulkley Valley",54,2019,2,5.38898658752441
"Prince George",57,2019,2,6.24634599685669
"Nicola-Similkameen",58,2019,2,5.55073976516724
"Peace River South",59,2019,2,5.71719694137573
"Rocky Mountain",6,2019,2,6.50531482696533
"Peace River North",60,2019,2,4.02289915084839
"Victoria",61,2019,2,4.44886636734009
"Sooke",62,2019,2,4.3315806388855
"Saanich",63,2019,2,4.52030420303345
"Gulf Islands",64,2019,2,4.11043167114258
"Nanaimo-Ladysmith",68,2019,2,4.83286190032959
"Qualicum",69,2019,2,4.60371017456055
"Pacific Rim",70,2019,2,4.81710910797119
"Comox Valley",71,2019,2,6.05682563781738
"Campbell River",72,2019,2,5.51259469985962
"Kamloops-Thompson",73,2019,2,6.31019258499146
"Gold Trail",74,2019,2,5.4757719039917
"Mission",75,2019,2,4.67710256576538
"Fraser-Cascade",78,2019,2,5.47088432312012
"Cowichan",79,2019,2,4.56801319122314
"Kootenay Lake",8,2019,2,6.91624784469604
"Fort Nelson",81,2019,2,3.98556089401245
"Coast Mountains",82,2019,2,4.89669990539551
"Okanagan-Shuswap",83,2019,2,6.64248514175415
"Vancouver Island West",84,2019,2,5.27913522720337
"Vancouver Island North",85,2019,2,5.07216215133667
"Stikine",87,2019,2,3.73329210281372
"Nechako Lakes",91,2019,2,4.88485717773438
"Nisgaa",92,2019,2,6.06320810317993
"Central Coast",49,2019,2,4.56973934173584
"Okanagan-Skaha",67,2019,2,6.68920087814331
"Okanagan-Similkameen",53,2019,2,5.87581825256348
"Arrow Lakes",10,2019,3,5.52066850662231
"Revelstoke",19,2019,3,4.77853631973267
"Kootenay-Columbia",20,2019,3,5.74376678466797
"Vernon",22,2019,3,5.74254655838013
"Central Okanagan",23,2019,3,6.57698249816895
"Cariboo-Chilcotin",27,2019,3,4.59781408309937
"Quesnel",28,2019,3,5.39552164077759
"Chilliwack",33,2019,3,7.27869939804077
"Abbotsford",34,2019,3,5.58981513977051
"Langley",35,2019,3,5.84140348434448
"Surrey",36,2019,3,5.80700969696045
"Delta",37,2019,3,5.24805641174316
"Richmond",38,2019,3,4.36112022399902
"Vancouver",39,2019,3,4.16242361068726
"New Westminster",40,2019,3,6.57600927352905
"Burnaby",41,2019,3,6.71392965316772
"Maple-Ridge Pitt-Meadows",42,2019,3,5.42588758468628
"Coquitlam",43,2019,3,6.21571254730225
"North Vancouver",44,2019,3,5.83244562149048
"West Vancouver",45,2019,3,4.47314453125
"Sunshine Coast",46,2019,3,5.59715604782104
"Powell RIver",47,2019,3,4.96054124832153
"Sea to Sky",48,2019,3,5.30197286605835
"South East Kootenay",5,2019,3,5.04100561141968
"Haida Gwaii",50,2019,3,3.18675351142883
"Boundary",51,2019,3,5.73124361038208
"Prince Rupert",52,2019,3,3.97016358375549
"Bulkley Valley",54,2019,3,5.49444150924683
"Prince George",57,2019,3,5.39074563980103
"Nicola-Similkameen",58,2019,3,5.43505334854126
"Peace River South",59,2019,3,5.08652400970459
"Rocky Mountain",6,2019,3,4.08089923858643
"Peace River North",60,2019,3,4.08452224731445
"Victoria",61,2019,3,4.51127290725708
"Sooke",62,2019,3,4.90938806533813
"Saanich",63,2019,3,5.14937210083008
"Gulf Islands",64,2019,3,4.77598857879639
"Nanaimo-Ladysmith",68,2019,3,4.81234407424927
"Qualicum",69,2019,3,4.31962823867798
"Pacific Rim",70,2019,3,4.61923360824585
"Comox Valley",71,2019,3,4.46031665802002
"Campbell River",72,2019,3,4.51080751419067
"Kamloops-Thompson",73,2019,3,4.91112947463989
"Gold Trail",74,2019,3,4.92115259170532
"Mission",75,2019,3,6.03076553344727
"Fraser-Cascade",78,2019,3,6.09922647476196
"Cowichan",79,2019,3,5.09874391555786
"Kootenay Lake",8,2019,3,4.94992017745972
"Fort Nelson",81,2019,3,4.27066469192505
"Coast Mountains",82,2019,3,4.66966009140015
"Okanagan-Shuswap",83,2019,3,5.59477853775024
"Vancouver Island West",84,2019,3,4.44388628005981
"Vancouver Island North",85,2019,3,4.35036468505859
"Stikine",87,2019,3,3.77356195449829
"Nechako Lakes",91,2019,3,4.74622774124146
"Nisgaa",92,2019,3,5.23108863830566
"Central Coast",49,2019,3,4.05160760879517
"Okanagan-Skaha",67,2019,3,6.49235200881958
"Okanagan-Similkameen",53,2019,3,5.64041137695312
"Arrow Lakes",10,2019,4,2.61382579803467
"Revelstoke",19,2019,4,2.79116177558899
"Kootenay-Columbia",20,2019,4,2.91097545623779
"Vernon",22,2019,4,3.02903771400452
"Central Okanagan",23,2019,4,3.8959801197052
"Cariboo-Chilcotin",27,2019,4,3.1062331199646
"Quesnel",28,2019,4,2.68869519233704
"Chilliwack",33,2019,4,3.26558756828308
"Abbotsford",34,2019,4,3.83297204971313
"Langley",35,2019,4,3.9891459941864
"Surrey",36,2019,4,4.00868129730225
"Delta",37,2019,4,3.34843683242798
"Richmond",38,2019,4,3.06105256080627
"Vancouver",39,2019,4,3.09498572349548
"New Westminster",40,2019,4,4.12042188644409
"Burnaby",41,2019,4,3.98010921478271
"Maple-Ridge Pitt-Meadows",42,2019,4,3.35448384284973
"Coquitlam",43,2019,4,3.3471953868866
"North Vancouver",44,2019,4,3.38534331321716
"West Vancouver",45,2019,4,2.89668583869934
"Sunshine Coast",46,2019,4,3.16622018814087
"Powell RIver",47,2019,4,3.4858705997467
"Sea to Sky",48,2019,4,3.5786669254303
"South East Kootenay",5,2019,4,2.55764746665955
"Haida Gwaii",50,2019,4,3.82084631919861
"Boundary",51,2019,4,2.63500070571899
"Prince Rupert",52,2019,4,3.42664313316345
"Bulkley Valley",54,2019,4,3.29205107688904
"Prince George",57,2019,4,2.49723863601685
"Nicola-Similkameen",58,2019,4,3.43445491790771
"Peace River South",59,2019,4,2.58812713623047
"Rocky Mountain",6,2019,4,2.13021016120911
"Peace River North",60,2019,4,2.36954808235168
"Victoria",61,2019,4,3.67577028274536
"Sooke",62,2019,4,3.68649744987488
"Saanich",63,2019,4,3.50213027000427
"Gulf Islands",64,2019,4,2.94257736206055
"Nanaimo-Ladysmith",68,2019,4,3.58745908737183
"Qualicum",69,2019,4,3.7195360660553
"Pacific Rim",70,2019,4,3.33147811889648
"Comox Valley",71,2019,4,3.63176846504211
"Campbell River",72,2019,4,3.25976848602295
"Kamloops-Thompson",73,2019,4,3.30410099029541
"Gold Trail",74,2019,4,3.80120730400085
"Mission",75,2019,4,3.17830944061279
"Fraser-Cascade",78,2019,4,3.57549691200256
"Cowichan",79,2019,4,3.57418203353882
"Kootenay Lake",8,2019,4,2.54034852981567
"Fort Nelson",81,2019,4,2.28793239593506
"Coast Mountains",82,2019,4,3.60678386688232
"Okanagan-Shuswap",83,2019,4,3.75181579589844
"Vancouver Island West",84,2019,4,3.16519927978516
"Vancouver Island North",85,2019,4,3.30653929710388
"Stikine",87,2019,4,3.07823085784912
"Nechako Lakes",91,2019,4,2.84098863601685
"Nisgaa",92,2019,4,3.22634887695312
"Central Coast",49,2019,4,3.12826657295227
"Okanagan-Skaha",67,2019,4,3.41275358200073
"Okanagan-Similkameen",53,2019,4,2.9333598613739
"Arrow Lakes",10,2019,5,4.03762435913086
"Revelstoke",19,2019,5,3.77856540679932
"Kootenay-Columbia",20,2019,5,4.50670671463013
"Vernon",22,2019,5,4.5192813873291
"Central Okanagan",23,2019,5,4.7401876449585
"Cariboo-Chilcotin",27,2019,5,4.4405198097229
"Quesnel",28,2019,5,4.92893981933594
"Chilliwack",33,2019,5,4.44579744338989
"Abbotsford",34,2019,5,5.22138452529907
"Langley",35,2019,5,5.18045568466187
"Surrey",36,2019,5,5.45614862442017
"Delta",37,2019,5,5.23235940933228
"Richmond",38,2019,5,4.94998598098755
"Vancouver",39,2019,5,4.51376724243164
"New Westminster",40,2019,5,5.37310314178467
"Burnaby",41,2019,5,4.86108064651489
"Maple-Ridge Pitt-Meadows",42,2019,5,4.47440719604492
"Coquitlam",43,2019,5,4.67752552032471
"North Vancouver",44,2019,5,4.57633066177368
"West Vancouver",45,2019,5,4.11489486694336
"Sunshine Coast",46,2019,5,3.92413234710693
"Powell RIver",47,2019,5,3.76221108436584
"Sea to Sky",48,2019,5,3.662672996521
"South East Kootenay",5,2019,5,4.66783142089844
"Haida Gwaii",50,2019,5,4.38496160507202
"Boundary",51,2019,5,4.5364146232605
"Prince Rupert",52,2019,5,4.55388879776001
"Bulkley Valley",54,2019,5,5.51489686965942
"Prince George",57,2019,5,7.4626317024231
"Nicola-Similkameen",58,2019,5,4.5721116065979
"Peace River South",59,2019,5,12.2641639709473
"Rocky Mountain",6,2019,5,3.32300424575806
"Peace River North",60,2019,5,13.7358531951904
"Victoria",61,2019,5,4.63922834396362
"Sooke",62,2019,5,3.624178647995
"Saanich",63,2019,5,4.35619497299194
"Gulf Islands",64,2019,5,4.57706499099731
"Nanaimo-Ladysmith",68,2019,5,3.79732322692871
"Qualicum",69,2019,5,3.78428816795349
"Pacific Rim",70,2019,5,3.83071827888489
"Comox Valley",71,2019,5,3.54234457015991
"Campbell River",72,2019,5,3.5884895324707
"Kamloops-Thompson",73,2019,5,4.34982633590698
"Gold Trail",74,2019,5,4.30109453201294
"Mission",75,2019,5,4.77854490280151
"Fraser-Cascade",78,2019,5,4.09527730941772
"Cowichan",79,2019,5,3.30068898200989
"Kootenay Lake",8,2019,5,3.71058869361877
"Fort Nelson",81,2019,5,14.082465171814
"Coast Mountains",82,2019,5,5.35910177230835
"Okanagan-Shuswap",83,2019,5,4.30250406265259
"Vancouver Island West",84,2019,5,4.20143032073975
"Vancouver Island North",85,2019,5,4.2251238822937
"Stikine",87,2019,5,6.58344984054565
"Nechako Lakes",91,2019,5,5.60744142532349
"Nisgaa",92,2019,5,5.20959329605103
"Central Coast",49,2019,5,4.59737014770508
"Okanagan-Skaha",67,2019,5,4.58796501159668
"Okanagan-Similkameen",53,2019,5,4.30929279327393
"Arrow Lakes",10,2019,6,2.18303370475769
"Revelstoke",19,2019,6,2.14081835746765
"Kootenay-Columbia",20,2019,6,2.64831948280334
"Vernon",22,2019,6,2.63334250450134
"Central Okanagan",23,2019,6,2.7566237449646
"Cariboo-Chilcotin",27,2019,6,2.13122820854187
"Quesnel",28,2019,6,3.20975756645203
"Chilliwack",33,2019,6,4.37730550765991
"Abbotsford",34,2019,6,4.58347272872925
"Langley",35,2019,6,4.75156116485596
"Surrey",36,2019,6,4.45948123931885
"Delta",37,2019,6,3.8451201915741
"Richmond",38,2019,6,3.36387777328491
"Vancouver",39,2019,6,3.04688191413879
"New Westminster",40,2019,6,4.38652229309082
"Burnaby",41,2019,6,4.07167434692383
"Maple-Ridge Pitt-Meadows",42,2019,6,4.673508644104
"Coquitlam",43,2019,6,4.8882007598877
"North Vancouver",44,2019,6,4.55403757095337
"West Vancouver",45,2019,6,2.85721468925476
"Sunshine Coast",46,2019,6,2.3214545249939
"Powell RIver",47,2019,6,1.86559164524078
"Sea to Sky",48,2019,6,2.27911329269409
"South East Kootenay",5,2019,6,2.37981557846069
"Haida Gwaii",50,2019,6,3.21014928817749
"Boundary",51,2019,6,2.45671916007996
"Prince Rupert",52,2019,6,2.16342258453369
"Bulkley Valley",54,2019,6,2.75894403457642
"Prince George",57,2019,6,4.08720922470093
"Nicola-Similkameen",58,2019,6,2.41584396362305
"Peace River South",59,2019,6,5.09082412719727
"Rocky Mountain",6,2019,6,1.92531597614288
"Peace River North",60,2019,6,4.15726041793823
"Victoria",61,2019,6,4.24711608886719
"Sooke",62,2019,6,3.30534911155701
"Saanich",63,2019,6,3.42003726959229
"Gulf Islands",64,2019,6,3.10550141334534
"Nanaimo-Ladysmith",68,2019,6,2.8252420425415
"Qualicum",69,2019,6,2.84864592552185
"Pacific Rim",70,2019,6,2.86687898635864
"Comox Valley",71,2019,6,2.31892704963684
"Campbell River",72,2019,6,1.67601180076599
"Kamloops-Thompson",73,2019,6,2.56557703018188
"Gold Trail",74,2019,6,1.81824350357056
"Mission",75,2019,6,5.06663942337036
"Fraser-Cascade",78,2019,6,3.71048426628113
"Cowichan",79,2019,6,2.96582651138306
"Kootenay Lake",8,2019,6,2.3338189125061
"Fort Nelson",81,2019,6,4.91240215301514
"Coast Mountains",82,2019,6,2.4490807056427
"Okanagan-Shuswap",83,2019,6,2.75112628936768
"Vancouver Island West",84,2019,6,2.57181310653687
"Vancouver Island North",85,2019,6,2.22145891189575
"Stikine",87,2019,6,2.45060896873474
"Nechako Lakes",91,2019,6,3.02786898612976
"Nisgaa",92,2019,6,2.51140522956848
"Central Coast",49,2019,6,2.22369885444641
"Okanagan-Skaha",67,2019,6,2.60131072998047
"Okanagan-Similkameen",53,2019,6,2.37079191207886
"Arrow Lakes",10,2019,7,4.53508043289185
"Revelstoke",19,2019,7,4.04039764404297
"Kootenay-Columbia",20,2019,7,4.8902850151062
