"SCHOOL_DISTRICT_NAME","SCHOOL_DISTRICT_NUMBER","year","month","pm25_mean"
"Okanagan-Skaha",67,2017,2,7.02679443359375
"Okanagan-Similkameen",53,2017,2,5.96524000167847
"Arrow Lakes",10,2017,3,4.19738292694092
"Revelstoke",19,2017,3,3.98519229888916
"Kootenay-Columbia",20,2017,3,4.62377738952637
"Vernon",22,2017,3,4.51876354217529
"Central Okanagan",23,2017,3,5.11692094802856
"Cariboo-Chilcotin",27,2017,3,3.783527135849
"Quesnel",28,2017,3,4.57606172561646
"Chilliwack",33,2017,3,4.16900634765625
"Abbotsford",34,2017,3,4.68970632553101
"Langley",35,2017,3,4.64455604553223
"Surrey",36,2017,3,4.77289485931396
"Delta",37,2017,3,6.012131690979
"Richmond",38,2017,3,6.08935260772705
"Vancouver",39,2017,3,6.0274658203125
"New Westminster",40,2017,3,4.44080257415771
"Burnaby",41,2017,3,4.55758476257324
"Maple-Ridge Pitt-Meadows",42,2017,3,5.07423448562622
"Coquitlam",43,2017,3,5.75268220901489
"North Vancouver",44,2017,3,5.84433507919312
"West Vancouver",45,2017,3,5.74317407608032
"Sunshine Coast",46,2017,3,5.15540838241577
"Powell RIver",47,2017,3,4.1586594581604
"Sea to Sky",48,2017,3,4.47443819046021
"South East Kootenay",5,2017,3,3.95986533164978
"Haida Gwaii",50,2017,3,3.1242082118988
"Boundary",51,2017,3,4.23853206634521
"Prince Rupert",52,2017,3,3.50074243545532
"Bulkley Valley",54,2017,3,4.13819456100464
"Prince George",57,2017,3,5.00975322723389
"Nicola-Similkameen",58,2017,3,3.8172914981842
"Peace River South",59,2017,3,5.41243886947632
"Rocky Mountain",6,2017,3,3.55810141563416
"Peace River North",60,2017,3,5.02299547195435
"Victoria",61,2017,3,5.09207725524902
"Sooke",62,2017,3,3.76826524734497
"Saanich",63,2017,3,5.22758865356445
"Gulf Islands",64,2017,3,5.63794422149658
"Nanaimo-Ladysmith",68,2017,3,3.79179286956787
"Qualicum",69,2017,3,4.3552417755127
"Pacific Rim",70,2017,3,3.68095421791077
"Comox Valley",71,2017,3,3.23215842247009
"Campbell River",72,2017,3,3.62395715713501
"Kamloops-Thompson",73,2017,3,4.52917909622192
"Gold Trail",74,2017,3,4.06080532073975
"Mission",75,2017,3,5.26816320419312
"Fraser-Cascade",78,2017,3,4.35051727294922
"Cowichan",79,2017,3,2.86996388435364
"Kootenay Lake",8,2017,3,3.83463668823242
"Fort Nelson",81,2017,3,4.71828508377075
"Coast Mountains",82,2017,3,3.70726084709167
"Okanagan-Shuswap",83,2017,3,5.29135847091675
"Vancouver Island West",84,2017,3,3.38682126998901
"Vancouver Island North",85,2017,3,3.32534265518188
"Stikine",87,2017,3,2.75305676460266
"Nechako Lakes",91,2017,3,4.52803611755371
"Nisgaa",92,2017,3,3.98121452331543
"Central Coast",49,2017,3,3.19637846946716
"Okanagan-Skaha",67,2017,3,4.98010492324829
"Okanagan-Similkameen",53,2017,3,3.89850640296936
"Arrow Lakes",10,2017,4,3.66873335838318
"Revelstoke",19,2017,4,3.27146601676941
"Kootenay-Columbia",20,2017,4,4.19210338592529
"Vernon",22,2017,4,3.88886332511902
"Central Okanagan",23,2017,4,4.55776691436768
"Cariboo-Chilcotin",27,2017,4,3.22765755653381
"Quesnel",28,2017,4,3.79021644592285
"Chilliwack",33,2017,4,3.78862953186035
"Abbotsford",34,2017,4,4.43979978561401
"Langley",35,2017,4,4.68873023986816
"Surrey",36,2017,4,5.19956207275391
